record_id,entity_id,entity_type,full_name,dob,address,nationality,city,country,is_pep,pep_level,director_of_entity_ids,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage,source,source_type,ingested_at
REC_SYNTH_C_002,ENT_COMPANY_002,company,Premier Energy Consulting Group,,"453 Business Park, Edinburgh, United Kingdom",,Edinburgh,United Kingdom,,,,66226597,2022-12-20,25,False,ENT_PERSON_017,30,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_003,ENT_COMPANY_003,company,Global Media Resources Ltd,,"5 Business Park, Glasgow, United Kingdom",,Glasgow,United Kingdom,,,,78821690,2017-12-14,500,False,ENT_PERSON_000,75,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_004,ENT_COMPANY_004,company,Superior Retail Industries Plc,,"355 Business Park, Glasgow, United Kingdom",,Glasgow,United Kingdom,,,,40249584,2004-09-08,5,False,ENT_COMPANY_032,50,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_005,ENT_COMPANY_005,company,Strategic Tech Group Plc,,"803 Business Park, London, United Kingdom",,London,United Kingdom,,,,57151457,2013-01-15,250,False,ENT_PERSON_031,51,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_006,ENT_COMPANY_006,company,Vertex Energy Group Plc,,"802 Business Park, London, United Kingdom",,London,United Kingdom,,,,75198843,2019-08-19,15,False,ENT_PERSON_016,60,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_007,ENT_COMPANY_007,company,Apex Agriculture Management Ltd,,"740 Business Park, Liverpool, United Kingdom",,Liverpool,United Kingdom,,,,28480778,2005-04-04,50,False,ENT_PERSON_001,30,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_008,ENT_COMPANY_008,company,Apex Media Holdings Ltd,,"394 Business Park, Oxford, United Kingdom",,Oxford,United Kingdom,,,,34260543,2021-11-19,50,False,ENT_PERSON_036,30,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_009,ENT_COMPANY_009,company,Advanced Mining Group Plc,,"676 Business Park, Oxford, United Kingdom",,Oxford,United Kingdom,,,,91766772,2000-11-28,5,False,ENT_PERSON_033,60,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_010,ENT_COMPANY_010,company,Global Agriculture Holdings Ltd,,"349 Business Park, Cambridge, United Kingdom",,Cambridge,United Kingdom,,,,87427269,2001-11-16,100,False,ENT_PERSON_023,75,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_011,ENT_COMPANY_011,company,Superior Property Industries Plc,,"618 Business Park, Glasgow, United Kingdom",,Glasgow,United Kingdom,,,,93109026,2011-06-11,25,False,ENT_PERSON_030,40,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_012,ENT_COMPANY_012,company,Pinnacle Agriculture Industries Plc,,"526 Business Park, Edinburgh, United Kingdom",,Edinburgh,United Kingdom,,,,93611956,2013-12-10,100,False,ENT_PERSON_020,60,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_013,ENT_COMPANY_013,company,Pinnacle Energy Investments Inc,,"856 Business Park, Glasgow, United Kingdom",,Glasgow,United Kingdom,,,,38982210,2012-10-11,50,False,ENT_COMPANY_046,100,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_014,ENT_COMPANY_014,company,Strategic Media Development Corp,,"530 Business Park, Leeds, United Kingdom",,Leeds,United Kingdom,,,,33697407,2021-10-06,250,False,ENT_PERSON_031,75,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_015,ENT_COMPANY_015,company,Vertex Property Ventures Ltd,,"776 Business Park, Cardiff, United Kingdom",,Cardiff,United Kingdom,,,,24618606,2021-01-16,5,False,ENT_PERSON_009,30,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_016,ENT_COMPANY_016,company,Strategic Telecom Ventures Ltd,,"711 Business Park, Bristol, United Kingdom",,Bristol,United Kingdom,,,,29180307,2022-10-10,500,False,ENT_PERSON_029,25,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
REC_SYNTH_C_017,ENT_COMPANY_017,company,International Healthcare Financial Services,,"561 Business Park, Glasgow, United Kingdom",,Glasgow,United Kingdom,,,,28556316,2017-12-18,500,False,ENT_PERSON_025,75,synthetic_data,csv_synthetic,2026-02-28T07:51:06.221213
