record_id,source_type,batch_id,ingested_at,entity_id,entity_type,full_name,dob,nationality,is_pep,address,city,country,director_of_entity_ids,pep_level,company_number,date_incorporated,employee_count,is_offshore,owned_by_entity_id,ownership_percentage
REC_SYNTH_P_039,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_PERSON_039,person,Jennifer Lewis,1994-09-05,British,False,"729 King Street, Bristol, United Kingdom",Bristol,United Kingdom,ENT_COMPANY_004;ENT_COMPANY_005,,,,,,,
REC_SYNTH_C_042,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_042,company,Global Healthcare Ventures Ltd,,,,"185 Business Park, Cambridge, United Kingdom",Cambridge,United Kingdom,,,37907234,2001-08-04,10,False,,
REC_SYNTH_C_043,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_043,company,Pinnacle Manufacturing Ventures Ltd,,,,"796 Business Park, Edinburgh, United Kingdom",Edinburgh,United Kingdom,,,98562293,2002-07-13,250,False,ENT_COMPANY_009,50.0
REC_SYNTH_C_044,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_044,company,Quantum Finance Resources Ltd,,,,"824 Business Park, Birmingham, United Kingdom",Birmingham,United Kingdom,,,61480137,2007-04-11,100,False,,
REC_SYNTH_C_045,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_045,company,Quantum Healthcare Financial Services,,,,"391 Business Park, London, United Kingdom",London,United Kingdom,,,39722974,2023-09-11,50,False,,
REC_SYNTH_C_046,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_046,company,Elite Agriculture Solutions Ltd,,,,"993 Business Park, Cambridge, United Kingdom",Cambridge,United Kingdom,,,82206761,2014-08-12,500,False,,
REC_SYNTH_C_047,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_047,company,Advanced Tech Holdings Ltd,,,,"22 Business Park, Bristol, United Kingdom",Bristol,United Kingdom,,,40638531,2007-11-22,50,False,,
REC_SYNTH_C_048,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_048,company,Vertex Capital Inc,,,,"483 Business Park, Dubai, United Arab Emirates",Dubai,United Arab Emirates,,,OFF73914,2020-07-04,1,True,,
REC_SYNTH_C_049,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_049,company,Quantum Holdings Inc,,,,"749 Business Park, Panama City, Panama",Panama City,Panama,,,OFF6279,2013-02-27,2,True,,
REC_SYNTH_C_05,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_05,company,Advanced Investments Inc,,,,"714 Business Park, Douglas, Isle of Man",Douglas,Isle of Man,,,OFF25926,2018-01-31,0,True,ENT_COMPANY_038,100.0
REC_SYNTH_C_051,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_051,company,Pinnacle Capital Inc,,,,"120 Business Park, Singapore, Singapore",Singapore,Singapore,,,OFF99244,2003-02-27,1,True,,
REC_SYNTH_C_052,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_052,company,Premier Ventures Inc,,,,"847 Business Park, Nassau, Bahamas",Nassau,Bahamas,,,OFF24531,2006-06-22,1,True,,
REC_SYNTH_C_053,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_053,company,Strategic Capital Inc,,,,"820 Business Park, Nassau, Bahamas",Nassau,Bahamas,,,OFF31711,2009-04-07,0,True,,
REC_SYNTH_C_054,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_054,company,Vertex Ventures Inc,,,,"807 Business Park, Hamilton, Bermuda",Hamilton,Bermuda,,,OFF18271,2015-05-15,0,True,,
REC_SYNTH_C_055,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_055,company,Nexus Ventures Inc,,,,"912 Business Park, Dubai, United Arab Emirates",Dubai,United Arab Emirates,,,OFF14128,2020-05-30,0,True,,
REC_SYNTH_C_056,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_056,company,International Capital Inc,,,,"343 Business Park, Luxembourg City, Luxembourg",Luxembourg City,Luxembourg,,,OFF51268,2008-01-08,0,True,,
REC_SYNTH_C_057,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_057,company,Vertex Holdings Inc,,,,"513 Business Park, Dubai, United Arab Emirates",Dubai,United Arab Emirates,,,OFF62587,2008-03-04,0,True,,
REC_SYNTH_C_058,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_058,company,Elite Investments Inc,,,,"175 Business Park, Singapore, Singapore",Singapore,Singapore,,,OFF52799,2015-02-28,0,True,,
REC_SYNTH_C_059,json_synthetic,BATCH_20260228_144148,2026-02-28T07:51:06.258839,ENT_COMPANY_059,company,Advanced Capital Inc,,,,"766 Business Park, St. Helier, Jersey",St. Helier,Jersey,,,OFF26617,2021-08-22,0,True,,
