record_id,source_type,batch_id,ingested_at,entity_id,entity_type,full_name,dob,nationality,address,director_of_entity_ids,is_pep,pep_level,company_number,date_incorporated,employee_count,is_offshore,city,country,owned_by_entity_id,ownership_percentage
BATCH_20260226_173631_xml_REC_000003,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Edward Thompson,1975-04-20,British,"Royal Courts of Justice, London, United Kingdom",ENT_CO_55667788,True,judge,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000004,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_12345678,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000005,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_87654321,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000006,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_55667788,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000007,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_99887766,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000008,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_22334455,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000009,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.978436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_11111111,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000010,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,person,Sarah Nominee,1980-12-01,British,"Corporate Services Ltd, London, United Kingdom",ENT_CO_CAYMAN001,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_xml_REC_000011,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,person,C. Brown,1992-07-11,American,"22 Elm Avenue, Manchester, United Kingdom",,False,,,,,,Manchester,United Kingdom,,
BATCH_20260226_173631_xml_REC_000012,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,TechStart Limited,,,"100 Silicon Road, London, United Kingdom",,,,12345678,2020-05-10,15,False,London,United Kingdom,ENT_BOB_19650820,25.0
BATCH_20260226_173631_xml_REC_000013,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,DataCorp Holdings Ltd,,,"200 Data Lane, Birmingham, United Kingdom",,,,87654321,2018-03-15,50,False,Birmingham,United Kingdom,ENT_ALICE_19850315,75.5
BATCH_20260226_173631_xml_REC_000014,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,Offshore Ventures Inc,,,"George Town, Cayman Islands",,,,CAYMAN001,2015-01-01,0,True,George Town,Cayman Islands,ENT_ALICE_19850315,100.0
BATCH_20260226_173631_xml_REC_000015,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,FinTech Innovations Ltd,,,"500 Finance Avenue, Edinburgh, United Kingdom",,,,55667788,2022-08-15,30,False,Edinburgh,United Kingdom,ENT_CHARLIE_19920711,60.0
BATCH_20260226_173631_xml_REC_000016,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,Global Holdings Limited,,,"George Town, Cayman Islands",,,,11111111,2015-01-01,0,True,George Town,Cayman Islands,ENT_ALICE_19850315,100.0
BATCH_20260226_173631_xml_REC_000017,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,GreenEnergy Solutions Plc,,,"300 Eco Street, Oxford, United Kingdom",,,,99887766,2019-06-30,25,False,Oxford,United Kingdom,ENT_CO_87654321,80.0
BATCH_20260226_173631_xml_REC_000018,xml_companies_house,BATCH_20260226_173631,2026-02-26T17:36:31.979436,,company,Property Investments Limited,,,"400 Real Estate Road, Leeds, United Kingdom",,,,22334455,2017-11-10,5,False,Leeds,United Kingdom,ENT_DIANA_19831105,45.0
BATCH_20260226_173631_json_REC_000000,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,,person,Alice M. Johnson,1985-03-15,British,"10 Oak Street, London, United Kingdom",,False,,,,,,London,United Kingdom,,
BATCH_20260226_173631_json_REC_000001,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_FRANK_19881203,person,Frank Miller,1988-12-03,American,"US Embassy, London, United Kingdom",,True,diplomat,,,,,London,United Kingdom,,
BATCH_20260226_173631_json_REC_000002,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_CO_22334455,company,Property Investments Ltd,,,"400 Real Estate Road, Leeds, United Kingdom",,,,22334455,2017-11-10,5,False,Leeds,United Kingdom,ENT_DIANA_19831105,45.0
BATCH_20260226_173631_json_REC_000003,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_CO_OFFSHORE_001,company,BVI Holdings Inc,,,"Road Town, British Virgin Islands",,,,BVI12345,,0,True,Road Town,British Virgin Islands,ENT_CO_22334455,100.0
BATCH_20260226_173631_json_REC_000004,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_GRACE_19900515,person,Grace Lee,1990-05-15,British,"88 Tech Hub, Cambridge, United Kingdom",ENT_CO_12345678,False,,,,,,Cambridge,United Kingdom,,
BATCH_20260226_173631_json_REC_000005,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_GRACE_19900515,person,Grace Lee,1990-05-15,British,"88 Tech Hub, Cambridge, United Kingdom",ENT_CO_55667788,False,,,,,,Cambridge,United Kingdom,,
BATCH_20260226_173631_json_REC_000006,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_CO_BLOCKCHAIN_001,company,Blockchain Ventures Ltd,,,"Crypto Tower, London, United Kingdom",,,,33445566,2021-03-10,12,False,London,United Kingdom,ENT_ALICE_19850315,51.0
BATCH_20260226_173631_json_REC_000007,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_HENRY_19701225,person,Henry Thompson,1970-12-25,British,"House of Commons, London, United Kingdom",,True,parliament_member,,,,,London,United Kingdom,,
BATCH_20260226_173631_json_REC_000008,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_CO_CIRCULAR_A,company,Circular Company A Ltd,,,"London, United Kingdom",,,,77777777,2020-01-01,3,False,London,United Kingdom,ENT_CO_CIRCULAR_B,50.0
BATCH_20260226_173631_json_REC_000009,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_CO_CIRCULAR_B,company,Circular Company B Ltd,,,"London, United Kingdom",,,,88888888,2020-01-01,3,False,London,United Kingdom,ENT_CO_CIRCULAR_A,50.0
BATCH_20260226_173631_json_REC_000010,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_IVAN_19950310,person,Ivan Petrov,1995-03-10,Russian,"Moscow, Russia",ENT_CO_CIRCULAR_A,False,,,,,,Moscow,Russia,,
BATCH_20260226_173631_json_REC_000011,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_IVAN_19950310,person,Ivan Petrov,1995-03-10,Russian,"Moscow, Russia",ENT_CO_CIRCULAR_B,False,,,,,,Moscow,Russia,,
BATCH_20260226_173631_json_REC_000012,json_land_registry,BATCH_20260226_173631,2026-02-26T17:36:31.988904,ENT_IVAN_19950310,person,Ivan Petrov,1995-03-10,Russian,"Moscow, Russia",ENT_CO_OFFSHORE_001,False,,,,,,Moscow,Russia,,
